Job Title,Job URL,Experience Needed,Company Name,Location,Career Level,Education Level,Salary,Job Categories,Skills and Tools,Job Description,Job Requirements
Quality Assurance Specialist,https://wuzzuf.net/jobs/p/LehmVbzGxpJo-Quality-Assurance-Specialist-ITS-Cairo-Egypt,2 to 5 years,ITS,"Nasr City, Cairo",Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"Agile, Analysis, Engineering, ISO, Management, Project Management, QA, quality, Quality Assurance, Quality Control, SDLC, Software, No skills and tools found","Regarding Internal Audit:To follow up with auditees on collecting the needed List of Requirements LORs for all auditorsTo upload all the audit reports findings on NC tracking system, issue & share final findings with BX team.To ensure that the management responses are aligned to the respective findings and to ensure that all findings are closed by respective stakeholders as per the agreed manner with the external audit agencies.To follow up auditors’ findings/observations with auditees/area owners till closure.To deliver the needed reports related to IATo plan and conduct Internal reviews on development projects and support servicesRegarding process improvement and QMS:To work as a configuration controller for the company QMS and make the needed announcement for new policy / procedure.To deliver Quality related training courses to ITS employees.To work closely with all ITS colleagues to promote Continuous Improvement, facilitating workshops relating to project and process innovation/change issues.To assist in the development of the documented Quality Management System, including the design of process maps and procedures.Make recommendations for improvement.Regarding CMMI and ISO certification:To maintain and execute the CMMI and ISO 9001 recertifications at appropriate time.To ensure creating / calibrating process model(s) for banking development.To ensure developing and reporting process performance and process baseline reports for banking development.To ensure developing, maintaining and updating metrics schema for all banking development.To plan for SEPG meetings, communicate & manage meeting agenda, communicate MOMs and follow up on meeting actions. "," Organizational and planningCommunicationExcellent data collection and analysis skillsStatistical analysisProblem-solvingIndustry-specific technical knowledgeStrong attention to detailGood knowledge in ISO standards (9001, 20000).Good knowledge in CMMI for development (HML is preferable).Knowledge of Engineering processes & SDLC.Knowledge of Project management.Good knowledge in Agile.Knowledge of Statistical Analysis.Knowledge of Application of Quality tools2 to 5 years of experienceBanking, IT, or Software Companies experience is a must."
IT Help Desk Coordinator,https://wuzzuf.net/jobs/p/m1QfJusTBctP-IT-Help-Desk-Coordinator-FlexFilms-Egypt-Giza-Egypt,1 to 3 years,FlexFilms Egypt,"6th of October, Giza",Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Installation/Maintenance/Repair,"Information Technology (IT), Computer Engineering, Computer Science, Help desk, computer, Installation, No skills and tools found",Serve as the first point of contact for employees seeking technical assistance over the phone or email.Installing and upgrading hardware and software systems.Perform  troubleshooting through diagnostic techniques.Running software diagnostic tools and physically inspecting hardware systems.Provide quick and effective assistance with information technology systems.,"Bachelor’s degree in computer science, computer engineering.1- 3 years of experience.Very good communication skill, problem-solving skills.Very good command in English."
Software Analyst/Tester (Fresh) - Alexandria,https://wuzzuf.net/jobs/p/A3TpXtV5wGYe-Software-AnalystTester-Fresh---Alexandria-Arabic-Localizer-Alexandria-Egypt,0 to 3 years,Arabic Localizer,"San Stefano, Alexandria",Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Female,IT/Software Development,"Business Analysis, Software Analysis, Software Tester, Software Testing, Software, Quality Control, Information Technology (IT), Computer Science, Software Development, No skills and tools found","A leading Software Solutions Companies in Alexandria is seeking “Software Analyst/Tester [Fresh]”Job Duties:Discuss project features and  requirements with clientsDesign prototypes and map user experienceConvert requirements into detailed tasks for developmentCommunicate with the development team to discuss tasks from business and functional perspectivesEstimate, prioritize, plan, and coordinate tasksMonitor project development closely and solve any problems related to execution that come up during development.Creates test plans, tests scenarios, and tests cases from business and functional requirementsExecutes testsCommunicates defects to the development teamAnalyze and monitor system performanceSuggests product enhancements to improve user experienceRetest resolved bugs and perform regression tests","Gender: Female [Veiled]No Experience is RequiredJob Type: Full Time-Office BasedWeekend: Saturday-SundayJob Location: Alexandria, TharwatIdeal Candidate’s Requirements:Bachelor degree holder.Must be a resident of Alexandria.Strong communication and organizational skills.Excellent written and verbal communication skills in English.Positive, proactive team player who is passionate about her work.The candidate should exhibit problem-solving skills and the ability to take initiative and learn fast."
Data Labeler,https://wuzzuf.net/jobs/p/rdipBS1vqMeB-Data-Labeler-Micro-Engineering-Cairo-Egypt,Not Specified,Micro Engineering,"Heliopolis, Cairo",Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,R&D/Science,"Data Entry, English, data labeling, Administration, No skills and tools found","The Data Labeler/annotator role is an entry-level position for individuals who are interested in working in the AI industry. We are looking for candidates who are detail-oriented and adaptable to varying workloads. Your job will include annotating tasks and delivering high-quality labeled datasets by following a clear set of instructions. You will be working cross-functionally with Engineering to deliver high-quality annotated data for automotive. ResponsibilitiesLabel machine learning data from clientsComplete tasks in a timely manner, meeting SLA deadlinesDo post-process audits and write error reports on data and tasksWork in-sync with Team Leads to meet weekly goals","Job RequirementsRequired Skills:Detail oriented and can follow complex instructionsAbility to work full-time hours (8-hour workdays)Ability to work independently, cooperatively, and collaboratively as a team memberPossession of good communication and English language skillsStrong sense of ownership, urgency, and driveAbility to handle ambiguity and changing prioritiesApplication is open for graduates only"
Senior Odoo Developer.,https://wuzzuf.net/jobs/p/Q9A8Xa68lgDP-Senior-Odoo-Developer-Cairo-Egypt,3 to 7 years,Confidential Company,"Cairo, Egypt",Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development,"Odoo ERP, Odoo Development, Git, CSS, JavaScript, HTML, Linux Operating System, Software Development, No skills and tools found","We are looking for a strong Senior Odoo Developer, who will be responsible for developing, implementing, customizing, and integrating Odoo ERP business applications with other systems, and providing ongoing support and future enrichment of those solutions to support business processes and functions. You'll be required to apply your depth of Odoo Framework, programming knowledge, and expertise to all aspects of the Software Development Lifecycle, propose the best technical solution by understanding business requirements from a techno-functional aspect, and partner continuously with our stakeholders to stay focused on common goals.  ","Education BackgroundBachelor’s degree in IT or computer science or relevant.Work Experience in same position from 4 - 7 years is MustTechnical SkillsExcellent understanding of Odoo framework.Strong knowledge of Odoo Stack Technologies (i.e., Python, JavaScript, HTML, CSS, XML, PostgreSQL etc.)Strong understanding of Odoo module building and troubleshooting.Excellent knowledge of database administration.Strong experience in versioning tools like Git and CD/CI tools like Jenkins etc.Knowledge of Linux operating system.Knowledge of Cloud technologiesApplication development knowledge is an added advantage.Data Analysis and reportingTechno-functional expertise.BenefitsSocial & Medical Insurance.Flexible working hours"
Middleware Developer,https://wuzzuf.net/jobs/p/ICEtcgsHO33T-Middleware-Developer-SSC-Egypt-Cairo-Egypt,1 to 2 years,SSC Egypt,"Downtown, Cairo",Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development,"Agile, Computer Engineering, Computer Science, Database, Information Technology (IT), Oracle, REST, SOA, Software Development, SQL, No skills and tools found","•Meet and coordinate with internal and external stakeholders to establish project scope, system goals, and requirements.•Develop, analyze, prioritize, and organize requirement specifications, data mapping, diagrams, and flowcharts for developers and testers to follow.•Translate highly technical specifications into clear non-technical requirements.•Works with internal and external stakeholders and IT partners to gather and validate requirements.•Implementation, enhancement, and support for business applications.•Provide documentation of all processes and training as needed.•Provide support for all business applications.•Managing and mitigating risks.","•BSc degree in Computer Engineering , Computer Science , BIS  or equivalent majors.•1 to 3 years of relevant work experience.•ORACLE SOA and ORACLE OSB•Experience with BPEL, Mediators and SOA adapters ( SOAP, Rest, database, …)•Relational database (MS SQL Server ,Oracle , etc.) concepts and design, with proficiency writing SQL queries and database development.•Experience documenting, testing, training, and implementing new applications and systems•Working knowledge of a wide variety of programming languages.•Strong communication, organization skills presentation skills, Excellent problem solving and analytical skills.•Agile principles and practices.•Scrum framework is a plus.•The ability to work both as a team and independently.•Fluent in English."
Software Quality Assurance Specialist,https://wuzzuf.net/jobs/p/UTBYCNqr1EFH-Software-Quality-Assurance-Specialist-Techno-Management-Cairo-Egypt,3 to 7 years,Techno Management,"Cairo, Egypt",Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development,"Engineering, Information Technology (IT), Quality Assurance, Software, Software Engineering, No skills and tools found","Job Nature: Full Time – Remote most of the timeJob Description:We are seeking a highly skilled and dedicated Software Quality Assurance Specialist with knowledge in Dot.Net Core. The ideal candidate will have a deep understanding of our Dot.Net Core-based system and will be responsible for ensuring the highest level of software quality. In addition to being tasked with conducting quality tests across different environments, the successful candidate will also manage sprint releases and be responsible for crafting comprehensive manuals in both Arabic and English. Familiarity with automated testing tools will be highly regarded. Job ResponsibilitiesPlan, create, and manage the overall Quality Planning strategy.Understand the detailed functions of our Dot.Net Core-based system.Ensure that the system is always in a good shape in terms of functionality on the web and mobile as well as the bug-free interfaces. Work closely with the business team to understand the system features and requirements.Understand and enhance the current software development process and work closely with the development team to ensure their compliance to the process.Audit the performance of the whole development and testing process and provide the quality audit reports of any violation to the process.Work collaboratively with software development teams to synchronize the development process along with the testing process.Conduct quality tests on different environments including development, staging, and production.Manage sprint release cycles to ensure timely and high-quality releases.Write comprehensive manuals in both Arabic and English for software usage, troubleshooting, and best practices.Utilize automated testing tools to enhance testing efficiency and coverage.Report defects and collaborate with developers to ensure they are addressed in a timely manner.Stay updated with new testing tools and test strategies to improve efficiency.Communicate findings, feedback, and suggestions to relevant stakeholders.","Job RequirementsMinimum of 3 years in Software Quality Assurance with at least 1 year of experience working with Dot.Net Core.Strong knowledge of software QA methodologies, tools, and processes.Experience in writing and maintaining clear, concise, and comprehensive manuals.High preference for candidates with experience in automated testing tools.Excellent problem-solving skills and attention to detail.Ability to work collaboratively within a team as well as independently.Strong organizational skills and the ability to manage multiple tasks concurrently.Excellent communication skills with the ability to convey complex technical information in a clear and concise manner. QualificationsA Bachelor's degree in Computer Science, Software Engineering, or a related field.Good command of Arabic and English language. (Very Good or Excellent English is required)"
Mid-level Backend Developer (Laravel),https://wuzzuf.net/jobs/p/XmLw83Uv2uY2-Mid-level-Backend-Developer-Laravel-Ø´Ø±ÙƒØ©-ØªÙˆØµÙŠÙ„-Ø§Ù„Ø®Ù„ÙŠØ¬ÙŠØ©-Ù„Ù„ØªØ¬Ø§Ø±Ø©-Cairo-Egypt,3 to 6 years,شركة توصيل الخليجية للتجارة,"Cairo, Egypt",Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"APIs, PHP, JavaScript, jQuery, Laravel, OOP, RESTful, Software Engineering, Laravel Framework, Laravel PHP, MySQL, Nginx, RESTful APIs, No skills and tools found",Job DescriptionWe Are looking for Backend PHP Laravel developers passionate about food and tech. to help us build the best customer experience in the PHP/laravel techs.,"Strong knowledge of PHP and Laravel FrameworkMemCache, File Cache. and Redis.JavaScript, jQuery,CSS, BootstrapWeb Services, JSON, RESTful APIs, and API gatewaysMySQL, MariaDBUnderstanding of Cloud service, digital ocean, amazon services, and tools like dockerLinux Configurations & Manipulation.Strong OOP Principles, Code Architecture, and Design PatternsExcellent documentation, presentation, and communication skillExperience building RESTful web services.Ability (and desire!) to write unit and integration tests.Good knowledge of version control tools, and experience collaborating with a team of developers.Bachelor's degree in computer science, or equivalent experience.Strong written and verbal communication skills, and excellent listening skills.Good English (Read, Write, and Conversion)"
React Native Developer,https://wuzzuf.net/jobs/p/l0SJkiheK6kj-React-Native-Developer-Cairo-Egypt,2 to 5 years,Confidential Company,"Cairo, Egypt",Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"React Native, React, No skills and tools found","We are looking for someone who has 3+ years of experience in React Native developer, specifically in building performant mobile apps on both the iOS and Android platforms. You will be responsible for building reusable components for the applications, as well as coordinating with the teams responsible for other layers of the product infrastructure. You will be required to implement the requirements yourself as well as guide a team of other great native developers (your peers) for the project. Building a product is a highly collaborative effort, and as such, a strong team player with a commitment to perfection is required. ",- Proficiency in React Native for cross-platform development.- Ability to match UI with figma files  -  ﻿Previous work involving the upload and compression of medium to large media files within mobile apps.-  ﻿Familiarity with RESTful APIs and third-party libraries.-  ﻿Strong problem-solving skills and the ability to work effectively in a team.-  ﻿Excellent communication and interpersonal skills.-  ﻿Attention to detail and a commitment to delivering high-quality code.-  ﻿Ability to adapt to new technologies and methodologies quickly.-  ﻿A solid understanding of mobile app development best practices.- Good Understanding of all ES6/ES7 features.- 3+ years of professional experience in software development preferably in production teams close to the customer.
Senior Applications Developer (.Net),https://wuzzuf.net/jobs/p/cLTcnZC2wHwi-Senior-Applications-Developer-Net-Cairo-Egypt,4 to 7 years,Confidential Company,"New Cairo, Cairo",Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"Agile, .Net, ASP.Net, Computer Science, No skills and tools found","Produce software design and architectureWrite clean, scalable code using .NET programming languages (.net framework / core)Test and deploy applications and improve existing softwareDevelop documentation throughout the software development life cycle (SDLC)Familiarity with the ASP.NET framework, SQL Server and design/architectural patterns clean code DDD (e.g. Domain Driven Design)Knowledge of at least one of the .NET languages (e.g. C#, Visual Basic .NET) and HTML5/CSS3Familiarity with architecture styles/APIs (REST, RPC)Understanding of Agile methodologies (SCRUM)Project management tasks include functional requirements document, functional design document, technical design document, configuration design document, user acceptance test and user guide manuals.Act as interface manager between IS department and all business functions across the organization.Follow up the application implementation plans from kick off until go live.Propose and maintain solutions that meet the business requirements and specifications set by business users.","Familiarity with the ASP.NET framework, SQL Server and design/architectural patterns clean code DDD (e.g. Domain Driven Design)Must have experience in Python, SQL and JavaScriptExperience in Frappe Framework is a plusKnowledge of at least one of the .NET languages (e.g. C#, Visual Basic .NET) and HTML5/CSS3Familiarity with architecture styles/APIs (REST, RPC)Understanding of Agile methodologies (SCRUM)Construction field background is a plus.Integration experience with SAP ERP is a plusStrong knowledge and hands on experience in data migration and APIs"
Implementation Consultant,https://wuzzuf.net/jobs/p/fgjwfS9PygJT-Implementation-Consultant-Software-House-Solution-Cairo-Egypt,1 to 2 years,Software House Solution,"Heliopolis, Cairo",Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Male,Accounting/Finance,"Software, Computer Science, ERP, Implementation, Information Technology (IT), Consulting, business, Analysis, gold, Jewelry Design, jewelry, fianance, No skills and tools found","Implementing ERP Solutions Undertake short-term or long-term projects to address a variety of issues and needsMeet with management or appropriate staff to understand their requirementsUse interviews, surveys etc. to collect necessary dataConduct situational and data analysis to identify and understand a problem or issuePresent and explain findings to appropriate executivesProvide advice or suggestions for improvement according to objectivesFormulate plans to implement recommendations and overcome objectionsArrange for or provide training to people affected by changeEvaluate the situation periodically and make adjustments when neededReplenish knowledge of industry, products and field",Proven experience as consultantExperience in project managementThorough knowledge of field of expertise and willingness to keep abreast of advancementsKnowledge of data analysis and research techniquesKnowledge of business software and IT systemsAbility to develop detailed proposals and plansExcellent organizational and coordination skillsAnalytical and creativeA great listener with ability to communicate with people of diverse disciplinesBSc/BA in business or relevant discipline; Further qualifications in a specialized field will be a plusCertification in consulting or field of expertise is an advantage
Electrical technical office engineer - SENIOR - EARTHING SCOPE,https://wuzzuf.net/jobs/p/Z8TfJdoLxIQz-Electrical-technical-office-engineer---SENIOR---EARTHING-SCOPE-Cairo-Egypt,3 to 7 years,Confidential Company,"Nasr City, Cairo",Experienced (Non-Manager),Not Specified,"8000 to 16000 EGP Per Month, Annual Profit share
Private Medical coverage - AXA",Engineering - Construction/Civil/Architecture,"AutoCAD, Microsoft Office, Engineering, engineer, Design, Electrical, Electrical Engineering, EARTHING AND LIGHTNING, No skills and tools found","produce power earthing and lightning protection earthing designs, reports and analysis to clients’ specification, relevant and applicable standards or codes of practice.Compile a bill of quantity for the materials, to enable the Sales department to forward a comprehensive quotation to the client.Respond to client’s queries in a clear and precise manner covering technical knowledge with confidence.Design, control, and implement electrical systems and productsDevelop manufacturing processes according to global engineering codes and standards Manage engineering projects and deliver them on time Define customer needs and requirements Ensure that installations and applications are in line with customer needs and safety standards Collaborate with engineers and technicians to design and apply new system processesLiaise with marketing department to support and promote relevant earthing technical literature.Diagnose and troubleshoot technical issues, including account setup and network configurationAsk customers targeted questions to quickly understand the root of the problemTrack computer system issues through to resolution, within agreed time limitsTalk clients through a series of actions, either via phone, email or chat, until they’ve solved a technical issueProperly escalate unresolved issues to appropriate internal teams (e.g. software developers)Provide prompt and accurate feedback to customersRefer to internal database or external resources to provide accurate tech solutionsEnsure all issues are properly loggedPrioritize and manage several open issues at one timeFollow up with clients to ensure their IT systems are fully functional after troubleshootingPrepare accurate and timely reportsDocument technical knowledge in the form of notes and manualsMaintain jovial relationships with clients",Proven expertise as an electrical engineer - EARTHING AND LIGTNING SCOPE Hands-on experience using design and calculation software Deep knowledge of EARTHING AND LIGHTNING PROJECTS Understanding of electrical engineering codes and safety standards BS 7430 - NFPA 780 P NFC 17-102 /IES 62205 - IEC 62305 Problem-solving abilities Attention to detail Strong organizational and communication skills A degree in Electrical Engineering; MSc is a plus
Platform Engineer Manager,https://wuzzuf.net/jobs/p/ud7fifGc9TP2-Platform-Engineer-Manager-Tamayouz-Development-and-Training-Company-Cairo-Egypt,More than 5 years,Tamayouz Development and Training Company,"Nasr City, Cairo",Manager ,Bachelor's Degree,Male,IT/Software Development,"Computer Science, Development, Software Development, Information Technology (IT), No skills and tools found","Build and execute social media strategy through competitive research, platform determination, benchmarking, messaging and audience identificationGenerate, edit, publish and share daily content (original text, images, video or HTML) that builds meaningful connections and encourages community members to take actionSet up and optimize company pages within each platform to increase the visibility of company’s social contentModerate all user-generated content in line with the moderation policy for each communityCreate editorial calendars and syndication schedulesContinuously improve by capturing and analyzing the appropriate social data/metrics, insights and best practices, and then acting on the informationCollaborate with other departments (customer relations, sales etc) to manage reputation, identify key players and coordinate actions","Excellent consulting, writing, editing (photo/video/text), presentation and communication skillsDemonstrable social networking experience and social analytics tools knowledgeAdequate knowledge of web design, web development, CRO and SEOKnowledge of online marketing and good understanding of major marketing channelsPositive attitude, detail and customer oriented  with good multitasking and organisational abilityFluency in EnglishBS in Computer Science and IT or any related field "
Senior PHP Web Developer,https://wuzzuf.net/jobs/p/ASwxg2c4JaWP-Senior-PHP-Web-Developer-Arabia-for-Information-Technology-Cairo-Egypt,More than 5 years,Arabia for Information Technology,"Cairo, Egypt",Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development,"PHP, Web Development, Computer Engineering, Computer Science, Software Development, Web Application Design, Laravel, PHP Development, Information Technology (IT), Framework, Engineering, English, Communication, Development, No skills and tools found","About the JobArabia for information technology requires Web developers who will responsible for working on the development and implementation of a wide variety of web-based products using PHP.ResponsibilitiesUpdating, repairing, modifying and developing existing software and generic web applications.Combining all elements of the web application design and testing it.Reacting to problems and correcting the web application as necessary.Adapting the web application to new requirements, as necessary.Clarifying what actions the web application is intended to perform.Breaking down web application specification into its simplest elements and translating this logic into a programming language.","BSc in Computer Engineering or Computer Science.Minimum of 5 years' experience in PHP Development.Depth knowledge of PHP and Laravel Framework.Ability to meet deadlines, identify issues, and resolve with minimal direction.Must be self-motivated and able to work both independently and in conjunction with team members and product groups."
AX Functional Consultant,https://wuzzuf.net/jobs/p/oCtb9m1C9mMr-AX-Functional-Consultant-Cairo-Egypt,1 to 3 years,Confidential Company,"Obour City, Cairo",Experienced (Non-Manager),Bachelor's Degree,Male,IT/Software Development,"Ax, Functional consultant, Information Technology (IT), No skills and tools found"," ▪ Responsible for the post of statements▪ Responsible for adding users on the Ax system and on the sales screens in the branches.▪ Responsible for raising the recipe list on the system.▪ Understand user business requirements and convert it to functional design.▪ Supporting technical and functional system related issues.▪ Design, configuration, and testing of core Dynamics AX modules.▪ Ability to understand user business requirements and convert it to functional design. ","University degree in Computer or Technical Science or related field3 - 5 years of Experience.Excellent English SpeakingGood Analytical skillsproblem-solving skillsKnowledge of, user support principles and practices"
HR & Admin Manager,https://wuzzuf.net/jobs/p/JQi2rWdkk6uA-HR-Admin-Manager-FinBi-Finance-Banking-Consultants-International-Giza-Egypt,6 to 10 years,FinBi Finance & Banking Consultants International,"Dokki, Giza","Senior Management (CEO, GM, Director, Head)",Not Specified,Confidential,Administration,"HR, hr strategies, Administration, Human Resources, Management, Operations, Business Administration, No skills and tools found","Job Summary:As a Human Resources Manager, you will play a crucial role in shaping the organization's human capital and creating a positive work environment. Your strategic mindset, leadership abilities, and comprehensive HR knowledge will contribute to the overall success and growth of the organization. You will be responsible for overseeing and managing all aspects of the Human Resources department. Your role will involve developing and implementing HR strategies, policies, and programs to support the organization's goals and objectives. You will lead a team of HR professionals and collaborate with other departments to ensure effective HR operations and employee engagement. Your responsibilities will include recruitment and talent acquisition, employee relations, performance management, compensation and benefits administration, training and development, and HR compliance.Job Responsibilities:Develop and implement HR strategies, policies, and programs that align with the organization's goals and support its business strategy.Develop and review departmental budgets to fulfill the HR department's operational and administrative needs.Stay updated on industry trends and best practices in HR management, continuously improving HR processes and practices within the organization.Set objectives for the HR team and track progress based on metrics.Oversee the full recruitment and selection process, including job posting, sourcing candidates, conducting interviews, and making hiring decisions to attract and retain top talent.Handle employee offboarding processes, including exit interviews, asset retrieval, and ensuring smooth transitions for departing employees. Coordinate with relevant departments regarding employee departures.Develop and administer compensation and benefits programs, ensuring they are competitive, compliant, and aligned with industry standards.Implement performance management systems and processes, including goal setting, performance evaluations, and development plans to encourage employee productivity and growth.Handle employee relations matters, including conflict resolution, disciplinary actions, and grievance procedures, ensuring fair and consistent application of policies and procedures.Oversee training and development initiatives, identifying training needs, coordinating training programs, and fostering a culture of continuous learning and development.Ensure adherence to company policies, organizational values, and ethics.Ensure compliance with Egyptian employment laws and regulations.Maintain accurate HR records and ensure data integrity and confidentiality, utilizing HR information systems and tools effectively.Collaborate with department managers to understand their HR needs and provide strategic HR support and guidance including developing improved workflow, communication, and business processes.Foster a positive work culture and employee engagement through effective communication, recognition programs, and initiatives that promote employee well-being and satisfaction.Ensure employee safety, welfare, wellness, and health.Responsible for designing, planning, organizing, and ensuring delivery of support and administration services related to Environmental, Health and Safety, Facilities & Housekeeping, Security, Transportation, and managing the vendors contracting of all service-related agreements.","Job Qualifications:Bachelor’s degree in human resources, Business Administration, or a related field. Master's degree is a plus.HR certification is a plus.Proven work experience from 6 to 10 years in HR Operations with at least 2 years in managerial roleProficiency in HR information systems and other relevant software.Experience in developing and implementing HR strategies, policies, and programs.Strong knowledge of HR principles, practices, and employment laws and regulations.Demonstrated ability to build and maintain effective relationships at all levels of the organization.Job Competencies:Strategic ThinkingLeadership & people management skillsCommunication SkillsAnalytical & problem-solving skillsEthical practiceIf you are interested in this opportunity, please use the following link:https://finbi.erpcloud.systems/job-applicant/new"
Graphic Designer,https://wuzzuf.net/jobs/p/LUJcksGJKnSb-Graphic-Designer-Solutions-Cairo-Egypt,2 to 4 years,Solutions,"Nasr City, Cairo",Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"Adobe illustrator, adobe, Design, Fine Arts, Graphic Design, illustrator, Arts, No skills and tools found","Concept artistResponsible for designing and posting original content on online platforms.Increasing traffic and appealing to target audiences.designing graphic material, Visualizing and creating graphics including illustrations, background, layouts and photosCreating a creativity corporate Identity.Variety designs to suit with different ages and different culturals.The ability to research, develop and innovate to create unique designsMeet Deadline.","Preferable bachelor's Degree in Design, Fine Arts or related field .Excellent communication skillsExcellent Knowledge of adobe illustrator.Work under pressure.V.Good in English .cairo residnce is a must"
Technical Support Specialist,https://wuzzuf.net/jobs/p/FkaEFRWUaKNx-Technical-Support-Specialist-Cepack-Alexandria-Egypt,More than 2 years,Cepack,"Bourj Alarab, Alexandria",Experienced (Non-Manager),Bachelor's Degree,Confidential,Customer Service/Support,"Information technology, Computer Science, Customer Service, Technical Support, No skills and tools found","We are looking for technically skilled candidates with excellent interpersonal skills for the technical supportposition. Technical support officers troubleshoot technical issues, provide timely customer feedback, and support the roll-out of new applications, among other duties.Moreover, technical support officers need to talk to customers directly, as well as create writtendocumentation, requiring excellent written and verbal communication.Technical Support Responsibilities:Identifying hardware and software solutions.Troubleshooting technical issues.Diagnosing and repairing faults.Resolving network issues.Installing and configuring hardware and software.Speaking to customers to quickly get to the root of their problem.Providing timely and accurate customer feedback.Talking customers through a series of actions to resolve a problem.Following up with clients to ensure the problem is resolved.Replacing or repairing the necessary parts.Supporting the roll-out of new applications.Providing support in the form of procedural documentation.Managing multiple cases at one time.Testing and evaluating new technologies.Conducting electrical safety checks on equipment.","Technical Support Requirements:Degree in computer science or information technology.Prior experience in tech support, desktop support, ora similar role.Experience with remote desktop applications and help desk software.Attention to detail and good problem-solving skills.Excellent interpersonal skillsGood written and verbal communication."
Backend Engineer - NodeJS,https://wuzzuf.net/jobs/p/gE3oFJHrPi5s-Backend-Engineer---NodeJS-Anspire-Agency-Cairo-Egypt,More than 2 years,Anspire Agency,"Cairo, Egypt",Experienced (Non-Manager),Bachelor's Degree,Confidential,Installation/Maintenance/Repair,"Computer Science, Information Technology (IT), JavaScript, Software Development, Computer Engineering, Software Engineering, NodeJS, Backend, JSON, Node.js, REST, API, Communication skills, back-end, No skills and tools found","Design, build and configure applications to meet business process and application requirements.Work across the stack to from UI to databaseDesign and develop REST APIsDefine code architecture decisions to support a high-performance and scalable product with a minimal footprintMaintain high standards of software quality within the team by establishing good practices and habits.Collaborate with other software developers and software architects to plan, design, develop, test, and maintain web-applications built in various technologies.Assist in the collection and documentation of user’s requirements, development of user stories, estimates and work plans.Design, develop, and unit test applications in accordance with established standards.Work Conditions:Remotely, but might need to work from office sometimes","Back-end: Node.js, Express, PM2,Excellent communication skills.Services: REST Web Service / JSON format / API,2+ years of experience"
IT Project Manager,https://wuzzuf.net/jobs/p/lSI6v7PjS8gW-IT-Project-Manager-Dawi-Clinics-Cairo-Egypt,7 to 12 years,Dawi Clinics,"Maadi, Cairo",Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development,"Information Technology (IT), Management, Computer Science, Communication skills, Communication, Project Management, Engineering, Project, Software, Planning, Microsoft Office, computer, No skills and tools found","Supervisory Responsibilities:Hires and trains members of the technical staff.Assigns duties and responsibilities and oversees workflow of project staff.Oversees the day-to-day workflow of the department.Conducts performance evaluations that are timely and constructive.Handles discipline and termination of employees as needed and in accordance with company policy.Duties/Responsibilities:Manages assigned IT projects to ensure adherence to budget, schedule, and scope of project.Develops, maintains, and revises proposals for assigned projects including project objectives, technologies, systems, information specifications, timelines, funding, and staffing.Sets and tracks project milestones; manages and accounts for unforeseen delays, then realigns schedules and expectations as needed.Establishes and implements project communication plans, providing status updates to affected staff and stakeholders.Collects, analyzes, and summarizes information and trends as needed to prepare project status reports.Performs other related duties as assigned.","Required Skills/Abilities:Organized with attention to detail.Excellent analytical, logical thinking, and problem-solving skills.Excellent verbal and written communication skills.Thorough understanding of project management principles and planning.Thorough understanding of information technology procedures and practices.Proficient with, or able to quickly become proficient with, a range of general and specialized applications, software, and hardware used in the organization and the industry.Proficient with Microsoft Office Suite or related software.Ability to motivate groups of people to complete a project in a timely manner.Bachelors degree in Computer or Information Science-related field required; Masters degree preferred.At least 7 years of related experience required."
